,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Oita Prefecture,Oita Prefecture,GPE,-0.02857143,0.33333333,en,3.50000000,4389006-4,1854487,P,33.23333000,131.60000000,ASIA,Japan,EAS
Aso,Aso,GPE,0.07142857,0.14285714,en,3.50000000,5179317-9,12343407,L,30.16979000,81.34847000,ASIA,Nepal,TIB
Kobe,Kobe,GPE,0.22273720,0.55051810,en,3.46753247,4195257-1,1859171,P,34.69130000,135.18300000,ASIA,Japan,EAS
JAPAN,JAPAN,GPE,0.21634615,0.31730769,en,3.46666667,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Kawasaki City,Kawasaki City,GPE,0.17355050,0.94613091,en,3.43888889,,1859642,P,35.52056000,139.71722000,ASIA,Japan,EAS
India,India,GPE,0.31473465,0.84554540,en,3.42692308,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
west,west,LOC,0.08496732,0.55555556,en,3.40000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
Morioka City,Morioka City,GPE,0.00000000,0.00000000,en,3.40000000,,0,,,,,,
Kyoto,Kyoto,GPE,0.21996720,0.71763018,en,3.38750000,4073426-2,1857910,P,35.02107000,135.75385000,ASIA,Japan,EAS
Osaka Prefecture,Osaka Prefecture,GPE,0.14830508,0.29661017,en,3.37142857,,1853909,P,34.69379000,135.50107000,ASIA,Japan,EAS
Hormuz,Hormuz,GPE,-0.04629630,0.46212121,en,3.30000000,,0,,,,,,
France,France,GPE,0.14610390,0.37698413,en,3.30000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Bundesliga,Bundesliga,GPE,-0.14191919,0.29469697,en,3.30000000,,0,,,,,,
the Izu Islands,the Izu Islands,LOC,0.14132997,0.56574074,en,3.30000000,,7839115,U,13.48100000,144.73250000,PACIFIC,Northern Mariana Islands,NPO
the Noto Peninsula,the Noto Peninsula,LOC,0.38719155,0.77154899,en,3.20769231,,0,,,,,,
Sapporo,Sapporo,GPE,-0.09798100,0.60704671,en,3.18939394,4051677-5,2128295,P,43.06667000,141.35000000,ASIA,Japan,EAS
Finland,Finland,GPE,-0.03872449,0.78739796,en,3.18181818,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Israel,Israel,GPE,0.03970658,0.46059634,en,3.14809277,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
the Kumamoto Earthquake,the Kumamoto Earthquake,LOC,0.44481383,0.53989362,en,3.13333333,,0,,,,,,
Gifu Prefecture,Gifu Prefecture,GPE,0.02726925,0.37303715,en,3.10833333,4331104-0,1863641,P,35.42291000,136.76039000,ASIA,Japan,EAS
Paris,Paris,GPE,0.52434018,0.57844575,en,3.10000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Nagoya City,Nagoya City,GPE,0.19201229,0.69431644,en,3.10000000,,1856057,P,35.18147000,136.90641000,ASIA,Japan,EAS
Kansai,Kansai,GPE,0.19208337,1.15225393,en,3.07631579,,1859449,L,35.00000000,135.50000000,ASIA,Japan,EAS
